Movies_x,Year,Rank,Movie Rating,Movie ID,Genre,Rated,Actors,Directors,Gross
      Disaster Movie,2008,1,2.0,tt1213644,"Comedy, Sci-Fi",PG-13,"Carmen Electra, Vanessa Lachey, Nicole Parker","Jason Friedberg, Aaron Seltzer","$14,190,901"
      Superbabies: Baby Geniuses 2,2004,2,2.1,tt0270846,"Comedy, Family, Sci-Fi",PG,"Jon Voight, Scott Baio, Vanessa Angel",Bob Clark,"$9,219,388"
      Manos: The Hands of Fate,1966,3,2.1,tt0060666,"Drama, Horror",Not Rated,"Tom Neyman, John Reynolds, Diane Adelson",Harold P. Warren,N/A
      Code Name: K.O.Z.,2015,4,2.1,tt4458206,"Crime, Mystery",Not Rated,"Cem Kurtoglu, Hakan Ural, Hazim Körmükcü",Celal Çimen,N/A
      Kirk Cameron's Saving Christmas,2014,5,2.1,tt4009460,"Comedy, Family",PG,"Kirk Cameron, Darren Doane, Bridgette Cameron",Darren Doane,"$2,783,970"
      Birdemic: Shock and Terror,2010,6,2.1,tt1316037,"Horror, Thriller",Not Rated,"Alan Bagh, Whitney Moore, Tippi Hedren",James Nguyen,N/A
      The Hottie & the Nottie,2008,7,2.2,tt0804492,"Comedy, Romance",PG-13,"Paris Hilton, Joel David Moore, Christine Lakin",Tom Putnam,"$27,696"
      House of the Dead,2003,8,2.3,tt0317676,"Action, Adventure, Horror",R,"Jonathan Cherry, Tyron Leitso, Clint Howard",Uwe Boll,"$10,249,719"
      Pledge This!,2006,9,2.3,tt0417056,Comedy,R,"Paris Hilton, Simon Rex, Paula Garcés","William Heins, Strathford Hamilton",N/A
      Son of the Mask,2005,10,2.4,tt0362165,"Comedy, Family, Fantasy",PG,"Jamie Kennedy, Traylor Howard, Alan Cumming",Lawrence Guterman,"$17,018,422"
      Radhe,2021,11,2.4,tt10888594,"Action, Crime, Thriller",TV-MA,"Salman Khan, Disha Patani, Randeep Hooda",Prabhu Deva,N/A
      Turks in Space,2006,12,2.4,tt0808240,"Action, Comedy, Sci-Fi",Not Rated,"Cüneyt Arkin, Miraç Bayramoglu, Haldun Boysan",Kartal Tibet,N/A
      Epic Movie,2007,13,2.5,tt0799949,"Adventure, Comedy, Fantasy",PG-13,"Kal Penn, Jennifer Coolidge, Fred Willard","Jason Friedberg, Aaron Seltzer","$39,739,367"
      Foodfight!,2012,14,2.5,tt0249516,"Animation, Action, Adventure",PG,"Hilary Duff, Haylie Duff, Charlie Sheen",Lawrence Kasanoff,N/A
      Race 3,2018,15,2.5,tt7431594,"Action, Crime, Thriller",Not Rated,"Anil Kapoor, Salman Khan, Bobby Deol",Remo D'Souza,"$1,690,861"
