directors
Uwe Boll
"Jason Friedberg, Aaron Seltzer"
Prabhu Deva
Sean McNamara
Bob Clark
Robert Rodriguez
Tom Six
Ahmed Khan
Sophia Takal
Punit Malhotra
Tom Hooper
Arthur Allan Seidelman
Kim Henkel
Dennis Dugan
James Wong
Perry Andelin Blake
John Suits
Fred Savage
Tony Leondis
John R. Leonetti
Celal Çimen
Paul Michael Glaser
David Hogan
Pitof
Nicholas Webster
Tamra Davis
Bob Spiers
Kenneth Johnson
Rick Sloane
Robert Iscove
"Lawrence Raghavendra, Balakrishnan Thevar"
Troy Miller
Antoni Krauze
Roger Christian
Valerie Breiman
Vondie Curtis-Hall
Kartal Tibet
Joseph Sargent
Tommy Wiseau
Farah Khan
Kamil Cetin
Nabil Elderkin
Harold P. Warren
"Malcolm D. Lee, David Zucker"
James Nguyen
William Malone
Stewart Raffill
David Dhawan
Josh Stolberg
Chris Sivertson
Darren Doane
Lawrence Kasanoff
Joe Alves
John Gulager
Joel Schumacher
Albert Pyun
Christopher Leitch
Tom Putnam
Ulli Lommel
Sylvain White
Rupert Wainwright
Marco Schnabel
Tom Brady
Bo Zenga
Courtney Solomon
Andrzej Bartkowiak
"Matt Angel, Suzanne Coote"
"Aaron Seltzer, Jason Friedberg"
Togan Gökbakar
Claudio Fragasso
Lawrence Guterman
John McTiernan
Martin Brest
"Barbara Bialowas, Tomasz Mandes"
Neil LaBute
Chris Fisher
Remo D'Souza
Alan Metter
Don Michael Paul
"William Heins, Strathford Hamilton"
Ali Abbas Zafar
Hyung-rae Shim
Brian Levant
Sidney J. Furie
Michael Tiddes
Vic Armstrong
Peter MacDonald
