movie_id,movies,rank,movie_rating,rated,year,genre,actors,directors,gross
tt1213644,      Disaster Movie,1,2.0,PG-13,2008,"Comedy, Sci-Fi","Carmen Electra, Vanessa Lachey, Nicole Parker","Jason Friedberg, Aaron Seltzer","$14,190,901"
tt0270846,      Superbabies: Baby Geniuses 2,2,2.1,PG,2004,"Comedy, Family, Sci-Fi","Jon Voight, Scott Baio, Vanessa Angel",Bob Clark,"$9,219,388"
tt0060666,      Manos: The Hands of Fate,3,2.1,Not Rated,1966,"Drama, Horror","Tom Neyman, John Reynolds, Diane Adelson",Harold P. Warren,N/A
tt4458206,      Code Name: K.O.Z.,4,2.1,Not Rated,2015,"Crime, Mystery","Cem Kurtoglu, Hakan Ural, Hazim Körmükcü",Celal Çimen,N/A
tt4009460,      Kirk Cameron's Saving Christmas,5,2.1,PG,2014,"Comedy, Family","Kirk Cameron, Darren Doane, Bridgette Cameron",Darren Doane,"$2,783,970"
tt1316037,      Birdemic: Shock and Terror,6,2.1,Not Rated,2010,"Horror, Thriller","Alan Bagh, Whitney Moore, Tippi Hedren",James Nguyen,N/A
tt0804492,      The Hottie & the Nottie,7,2.2,PG-13,2008,"Comedy, Romance","Paris Hilton, Joel David Moore, Christine Lakin",Tom Putnam,"$27,696"
tt0317676,      House of the Dead,8,2.3,R,2003,"Action, Adventure, Horror","Jonathan Cherry, Tyron Leitso, Clint Howard",Uwe Boll,"$10,249,719"
tt0417056,      Pledge This!,9,2.3,R,2006,Comedy,"Paris Hilton, Simon Rex, Paula Garcés","William Heins, Strathford Hamilton",N/A
tt0362165,      Son of the Mask,10,2.4,PG,2005,"Comedy, Family, Fantasy","Jamie Kennedy, Traylor Howard, Alan Cumming",Lawrence Guterman,"$17,018,422"
tt10888594,      Radhe,11,2.4,TV-MA,2021,"Action, Crime, Thriller","Salman Khan, Disha Patani, Randeep Hooda",Prabhu Deva,N/A
tt0808240,      Turks in Space,12,2.4,Not Rated,2006,"Action, Comedy, Sci-Fi","Cüneyt Arkin, Miraç Bayramoglu, Haldun Boysan",Kartal Tibet,N/A
tt0799949,      Epic Movie,13,2.5,PG-13,2007,"Adventure, Comedy, Fantasy","Kal Penn, Jennifer Coolidge, Fred Willard","Jason Friedberg, Aaron Seltzer","$39,739,367"
tt0249516,      Foodfight!,14,2.5,PG,2012,"Animation, Action, Adventure","Hilary Duff, Haylie Duff, Charlie Sheen",Lawrence Kasanoff,N/A
tt7431594,      Race 3,15,2.5,Not Rated,2018,"Action, Crime, Thriller","Anil Kapoor, Salman Khan, Bobby Deol",Remo D'Souza,"$1,690,861"
tt0421051,      Daniel the Wizard,16,2.6,Not Rated,2004,"Comedy, Crime, Fantasy","Daniel Küblböck, Ulli Lommel, Rudolf Waldemar Brem",Ulli Lommel,N/A
tt0339034,      From Justin to Kelly,17,2.6,PG,2003,"Comedy, Musical, Romance","Kelly Clarkson, Justin Guarini, Katherine Bailess",Robert Iscove,"$4,928,883"
tt0096870,      Going Overboard,18,2.6,R,1989,Comedy,"Adam Sandler, Billy Bob Thornton, Billy Zane",Valerie Breiman,N/A
tt0369226,      Alone in the Dark,19,2.6,R,2005,"Action, Horror, Sci-Fi","Christian Slater, Tara Reid, Stephen Dorff",Uwe Boll,"$5,178,569"
tt0185183,      Battlefield Earth,20,2.6,PG-13,2000,"Action, Adventure, Sci-Fi","John Travolta, Forest Whitaker, Barry Pepper",Roger Christian,"$21,471,685"
tt1098327,      Dragonball Evolution,21,2.6,PG,2009,"Action, Adventure, Fantasy","Justin Chatwin, James Marsters, Chow Yun-Fat",James Wong,"$9,362,785"
tt0299930,      Gigli,22,2.7,R,2003,"Comedy, Crime, Romance","Ben Affleck, Jennifer Lopez, Justin Bartha",Martin Brest,"$6,087,542"
tt0118589,      Glitter,23,2.8,PG-13,2001,"Drama, Music, Romance","Mariah Carey, Eric Benét, Max Beesley",Vondie Curtis-Hall,"$4,274,407"
tt10280276,      Coolie No. 1,24,2.8,TV-14,2020,"Action, Comedy, Romance","Varun Dhawan, Sara Ali Khan, Paresh Rawal",David Dhawan,N/A
tt1073498,      Meet the Spartans,25,2.9,PG-13,2008,"Comedy, Fantasy","Sean Maguire, Kevin Sorbo, Carmen Electra","Jason Friedberg, Aaron Seltzer","$38,233,676"
tt7668842,      Enes Batur,26,2.9,N/A,2018,Comedy,"Enes Batur, Bilal Hanci, Atakan Özyurt",Kamil Cetin,N/A
tt5697572,      Cats,27,2.9,PG,2019,"Comedy, Drama, Family","James Corden, Judi Dench, Jason Derulo",Tom Hooper,"$27,166,770"
tt0466342,      Date Movie,28,2.9,PG-13,2006,"Comedy, Romance","Alyson Hannigan, Adam Campbell, Fred Willard","Aaron Seltzer, Jason Friedberg","$48,548,426"
tt0118665,      Baby Geniuses,29,2.9,PG,1999,"Comedy, Crime, Family","Kathleen Turner, Christopher Lloyd, Kim Cattrall",Bob Clark,"$27,250,736"
tt0089280,      Hobgoblins,30,3.0,Not Rated,1988,"Comedy, Horror, Sci-Fi","Tom Bartlett, Paige Sullivan, Steven Boggs",Rick Sloane,N/A
tt0785077,      Who's Your Caddy?,31,3.0,PG-13,2007,"Comedy, Sport","Big Boi, Jeffrey Jones, Terry Crews",Don Michael Paul,"$5,713,425"
tt1883367,      The Human Centipede III (Final Sequence),32,3.1,Not Rated,2015,"Comedy, Horror","Dieter Laser, Laurence R. Harvey, Eric Roberts",Tom Six,"$16,184"
tt0093300,      Jaws: The Revenge,33,3.1,PG-13,1987,"Adventure, Horror, Thriller","Lorraine Gary, Lance Guest, Mario Van Peebles",Joseph Sargent,"$20,763,013"
tt0383222,      BloodRayne,34,3.1,R,2005,"Action, Fantasy, Horror","Kristanna Loken, Ben Kingsley, Michelle Rodriguez",Uwe Boll,"$2,405,420"
tt0105643,      Troll 2,35,3.2,PG-13,1990,"Comedy, Fantasy, Horror","Michael Paul Stephenson, George Hardy, Margo Prey",Claudio Fragasso,N/A
tt6038600,      Smolensk,36,3.2,N/A,2016,"Drama, Thriller","Beata Fido, Maciej Póltorak, Aldona Struzik",Antoni Krauze,N/A
tt1572311,      Tees Maar Khan,37,3.2,Not Rated,2010,"Comedy, Crime","Akshay Kumar, Katrina Kaif, Akshaye Khanna",Farah Khan,"$1,076,443"
tt2467046,      Left Behind,38,3.2,PG-13,2014,"Action, Fantasy, Sci-Fi","Nicolas Cage, Lea Thompson, Cassi Thomson",Vic Armstrong,"$14,019,924"
tt0058548,      Santa Claus Conquers the Martians,39,3.3,Not Rated,1964,"Adventure, Comedy, Family","John Call, Leonard Hicks, Vincent Beck",Nicholas Webster,N/A
tt7255568,      Student of the Year 2,40,3.3,Not Rated,2019,"Action, Comedy, Drama","Tiger Shroff, Ananya Panday, Tara Sutaria",Punit Malhotra,"$778,566"
tt2574698,      Gunday,41,3.3,Not Rated,2014,"Action, Drama, Musical","Ranveer Singh, Arjun Kapoor, Priyanka Chopra Jonas",Ali Abbas Zafar,N/A
tt0116756,      Kazaam,42,3.3,PG,1996,"Comedy, Family, Fantasy","Shaquille O'Neal, Francis Capra, Ally Walker",Paul Michael Glaser,"$18,937,262"
tt10886166,      365 Days,43,3.3,TV-MA,2020,"Drama, Romance","Anna Maria Sieklucka, Michele Morrone, Bronislaw Wroclawski","Barbara Bialowas, Tomasz Mandes",N/A
tt0246894,      Rollerball,44,3.3,PG-13,2002,"Action, Sci-Fi, Sport","Chris Klein, Jean Reno, LL Cool J",John McTiernan,"$18,990,798"
tt0120207,      Steel,45,3.3,PG-13,1997,"Action, Adventure, Crime","Shaquille O'Neal, Annabeth Gish, Judd Nelson",Kenneth Johnson,"$1,710,972"
tt0810913,      Jack and Jill,46,3.3,PG,2011,Comedy,"Adam Sandler, Katie Holmes, Al Pacino",Dennis Dugan,"$74,158,157"
tt10350922,      Laxmii,47,3.4,TV-MA,2020,"Action, Comedy, Horror","Akshay Kumar, Kiara Advani, Sharad Kelkar","Lawrence Raghavendra, Balakrishnan Thevar",N/A
tt5690360,      Slender Man,48,3.4,PG-13,2018,"Horror, Mystery, Thriller","Joey King, Julia Goldani Telles, Jaz Sinclair",Sylvain White,"$30,569,484"
tt0327554,      Catwoman,49,3.4,PG-13,2004,"Action, Crime, Fantasy","Halle Berry, Sharon Stone, Benjamin Bratt",Pitof,"$40,202,379"
tt4877122,      The Emoji Movie,50,3.4,PG,2017,"Animation, Adventure, Comedy","T.J. Miller, James Corden, Anna Faris",Tony Leondis,"$86,089,513"
tt2403029,      The Starving Games,51,3.4,PG-13,2013,"Comedy, Sci-Fi","Maiara Walsh, Brant Daugherty, Cody Christian","Jason Friedberg, Aaron Seltzer",N/A
tt7608028,      The Open House,52,3.5,TV-MA,2018,"Horror, Thriller","Dylan Minnette, Piercey Dalton, Patricia Bethune","Matt Angel, Suzanne Coote",N/A
tt1666186,      Vampires Suck,53,3.5,PG-13,2010,"Comedy, Horror","Jenn Proske, Matt Lanter, Diedrich Bader","Jason Friedberg, Aaron Seltzer","$36,661,504"
tt0462244,      Daddy Day Camp,54,3.5,PG,2007,"Comedy, Family","Cuba Gooding Jr., Lochlyn Munro, Richard Gant",Fred Savage,"$13,235,267"
tt8366590,      Baaghi 3,55,3.5,Not Rated,2020,"Action, Comedy, Musical","Tiger Shroff, Riteish Deshmukh, Shraddha Kapoor",Ahmed Khan,"$721,439"
tt5013984,      Gully,56,3.5,R,2019,"Crime, Drama","Kelvin Harrison Jr., Jacob Latimore, Charlie Plummer",Nabil Elderkin,"$22,517"
tt0400426,      Far Cry,57,3.5,R,2008,"Action, Adventure, Sci-Fi","Til Schweiger, Emmanuelle Vaugier, Natalia Avelon",Uwe Boll,N/A
tt0118539,      3 Ninjas: High Noon at Mega Mountain,58,3.5,PG,1998,"Action, Adventure, Comedy","Loni Anderson, Hulk Hogan, Jim Varney",Sean McNamara,"$375,805"
tt0804452,      Bratz,59,3.5,PG,2007,"Comedy, Family, Music","Skyler Shaye, Janel Parrish, Logan Browning",Sean McNamara,"$10,010,209"
tt0115624,      Barb Wire,60,3.6,R,1996,"Action, Sci-Fi","Pamela Anderson, Amir AboulEla, Adriana Alexander",David Hogan,"$3,793,614"
